"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"1","Kevin Osawe","Little Rock","SB",42.4,92.1,17,37,4.8,14.8,8.6,7.4,0.3,0.8,23.5,"Jr","7-Jun","NJIT",-3.16304
"2","Skyelar Potter","Morehead St.","OVC",71.9,104.1,19.4,50.2,4.5,15.6,9.8,16.8,0.1,1.5,28.2,"Jr","3-Jun","Jacksonville St.",-0.248719
"3","EJ Harkless","Oklahoma","B12",53,92.5,21.9,49.3,3.6,14.3,12.1,21.3,0.6,2.8,25.6,"Sr","3-Jun","UNLV",1.85953
"4","Tae Hardy","Southern Miss","CUSA",11.4,104.7,23.4,53.2,1.6,8.9,12.9,17.6,0.8,4.1,40.4,"Jr","3-Jun","UTEP",1.98647
"5","Oscar Berry","Fairleigh Dickinson","NEC",42.8,120.7,13.7,61.4,1.5,8.9,13.1,13,0.5,1.8,18.1,"Fr","4-Jun","North Florida",-2.05411
"6","Michael Henn","Denver","Sum",63,109.2,19.6,55.3,5.6,16.1,14,16.8,0.6,0.8,22.7,"Sr","8-Jun","Penn St.",-2.07409
"7","Rocket Watts","Mississippi St.","SEC",18.5,90.6,18.9,47.6,1.4,6.6,8.7,22.3,0,1.7,6.1,"Jr","2-Jun","Oakland",-1.03086
"8","Stephane Ingo","Maine","AE",38.8,96.5,17.8,47.7,8.8,18.6,6.3,17.7,10.5,1.9,55.8,"Jr","9-Jun","Marist",0.290119
"9","Armon Harried","Canisius","MAAC",74.9,88.9,23,39,4,13.6,10.2,11.3,2.2,1.8,34.7,"Jr","5-Jun","Binghamton",-0.876744
"10","Brandon Suggs","East Carolina","Amer",58.8,98.3,20.5,44.4,3.4,12.2,18.3,20.7,2.3,2.9,59.4,"So","6-Jun","UCF",1.14065
"11","Blondeau Tchoukuiegno","New Hampshire","AE",91,102.7,21.5,49.6,2.1,15.8,22.3,20.4,1.2,1.8,29.1,"So","2-Jun","Cal Baptist",-0.503259
"12","Marvin Coleman","UNLV","MWC",14.5,86,13.8,33.9,5,14,18.2,19.3,0,3.3,29,"Sr","3-Jun","Evansville",2.32561
"13","Al-Amir Dawes","Clemson","ACC",73.7,107.2,19.6,54.8,0.5,10.8,14.8,16.9,0.1,1.8,20.1,"Jr","2-Jun","Seton Hall",0.286077
"14","Hegel Augustin","Central Connecticut","NEC",0.1,0,0,0,0,0,0,0,0,0,0,"Sr","3-Jun","Prairie View A&M",-3.50654
"15","Dominick Welch","St. Bonaventure","A10",93.4,106.3,17.2,54.6,4,15,8.1,15.9,2.1,2,10.4,"Sr","5-Jun","Alabama",0.857417
"16","Andre Curbelo","Illinois","B10",27.6,82.1,32,34.9,3.5,14,31.7,26.7,0.5,2.2,34.2,"So","1-Jun","St. John's",0.943316
"17","Gus Okafor","Southeastern Louisiana","Slnd",76.7,104.9,22.6,48.2,5.5,18.3,10.7,13.9,1.7,2.3,35.6,"Jr","6-Jun","Wichita St.",-1.88066
"18","Ezra Manjon","UC Davis","BW",85.5,94.6,28.6,43.5,2.8,9.2,23.1,14.9,1.2,1.5,24.3,"So","11-May","Vanderbilt",-1.00139
