"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"346","Rod Johnson","Chattanooga","SC",48.8,93.1,19.9,47.7,4.9,20.2,10.7,21.3,1.8,1.1,42.6,"Jr","7-Jun","Western Illinois",0.00914058
"347","Darnell Brodie","Seton Hall","BE",1.4,78.3,9.1,50,6.7,6.1,0,36.4,0,3.3,0,"So","9-Jun","Drake",0.43929
"348","Destin Barnes","Jacksonville","ASun",72.9,97.4,21.9,48,2.8,9.6,6.9,15,0.5,0.7,14.4,"Jr","7-Jun","UC Santa Barbara",-1.96186
"349","Peter Kiss","Rutgers","B10",1.2,11.4,18.2,0,0,15.2,11,23.1,0,4.2,25,"Jr","5-Jun","Bryant",-1.51907
"350","Liam Robbins","Drake","MVC",68,102.5,27.2,50.4,9.1,22.1,7.9,12.8,13.3,1.3,33.3,"So","Jul-00","Minnesota",2.3692
"351","Neftali Alvarez","Fairfield","MAAC",77.4,88.2,24.6,46,2.1,12.5,21.6,23.1,0.2,2.6,22.4,"Fr","2-Jun","Mercer",-0.594217
"352","Isaac Johnson","Western Illinois","Sum",65.3,87.4,25.7,42.7,2.3,18.6,9.2,16.2,0.3,2.1,20.5,"So","5-Jun","Nicholls St.",-1.53894
"353","Charlie Russell Jr.","Tulane","Amer",4.9,54.8,12.5,21.4,3.7,20.7,3.2,7.8,4.3,3.9,0,"Fr","7-Jun","UMass Lowell",0.689675
"354","Noah Horchler","North Florida","ASun",68.2,106.7,23,57.8,8.2,21.8,8.9,15.7,4.8,1.7,22.4,"Jr","8-Jun","Providence",0.870201
"355","Samba Kane","Illinois","B10",6.4,82.5,18.8,59.1,5.1,7.2,4.7,27.9,13.1,1.3,31.8,"Fr","Jul-00","San Francisco",3.31316
"356","Mike Smith","Columbia","Ivy",94.2,100.9,33.9,48.2,1.3,11.3,30.2,13.5,0,2.3,26,"Sr","11-May","Michigan",-0.486628
"357","Evan Cole","Georgia Tech","ACC",26.1,99.8,20,50.5,11.6,19.9,6,16.1,2.6,1.6,40.2,"Jr","10-Jun","Utah Valley",1.42173
"358","Ahmed Ali","Washington St.","P12",53,107.5,20,48.3,3.1,6.8,25.2,16.1,0.2,1.9,22.5,"Jr","11-May","Portland",-1.77734
"359","Vance Jackson Jr.","New Mexico","MWC",57,100.1,21.4,52.1,5.4,16.3,8.4,20,1.2,2,34,"Jr","9-Jun","Arkansas",-0.155057
"360","Harrison Curry","Detroit","Horz",28.1,96.6,24.3,43.9,9.2,19.1,1.2,13.6,3.9,2,37.1,"Jr","7-Jun","Siena",-2.61666
"361","Greg Foster Jr.","Gonzaga","WCC",8.6,71.4,14.9,32,1,7.9,12.7,26.4,0.8,1.8,32,"Fr","5-Jun","Saint Joseph's",0.948204
"362","Josh Jefferson","Illinois St.","MVC",36.1,109.5,18.1,51.8,1.5,8.9,13.9,11.8,0.5,2,23.2,"Jr","2-Jun","Green Bay",0.0284788
"363","Elijah Ifejeh","Louisiana Monroe","SB",20.6,64.7,19.5,44.7,8.7,13.3,13.2,39,2,1.4,42.1,"Jr","7-Jun","Southeastern Louisiana",0.210244
"364","Josh Hall","Missouri St.","MVC",53.7,93.4,16.2,45.8,6,16.5,10.3,22.8,1.2,2.5,31.6,"Jr","7-Jun","Cal St. Fullerton",1.5056
"365","Brandon Huffman","North Carolina","ACC",3.9,116.9,15.2,66.7,14,12.6,0,14.4,6.6,0,41.7,"Jr","10-Jun","Jacksonville St.",0.527842
"366","Josh Pierre-Louis","Temple","Amer",27.3,88.5,18.9,52.2,1.9,5.3,21.3,26.9,0.7,2.5,16.5,"Fr","3-Jun","UC Santa Barbara",0.516199
"367","James Beck","Oakland","Horz",43,101,17.4,46,10.7,17.9,10,16.6,2.1,0.7,44.8,"So","8-Jun","Miami OH",-1.54297
"368","Arkel Lamar","UMBC","AE",4.3,83,11.9,36.4,2.3,21.3,7.6,9.9,0,4.8,0,"Sr","5-Jun","Manhattan",3.6741
"369","Jalen Hodge","Louisiana Monroe","SB",36.4,104.2,17.5,54.7,0.9,9.6,16.5,19.2,0.6,1.1,31.6,"So","1-Jun","James Madison",-0.721539
"370","Gorjok Gak","Florida","SEC",0.9,16.7,19.6,0,11.3,21.5,0,28.1,0,0,100,"Jr","11-Jun","Cal Baptist",-3.46567
"371","Austin Trice","Kansas St.","B12",15.8,99.2,16.5,59.4,14.5,26.2,2.8,13.8,3.2,0.6,131.3,"Jr","7-Jun","Old Dominion",1.38265
"372","Rodney Henderson Jr.","Cal St. Northridge","BW",54,108,19.1,48.7,4.8,9.6,5.4,8,0.8,1.6,19.7,"Jr","5-Jun","Rider",-2.891
"373","Kevion Nolan","Samford","SC",41,118.2,16.2,59.8,0.9,8.6,12.8,15.3,0.6,2.1,25.9,"So","2-Jun","Jacksonville",0.53623
"374","Caleb Grill","Iowa St.","B12",31.1,83.8,10.9,40.7,2.3,11.4,7.1,21,0.5,2,10,"Fr","3-Jun","UNLV",0.371281
"375","J'Raan Brooks","USC","P12",17.1,90.1,13.9,50,2.4,14.3,5.1,19.4,0.5,0.2,17.3,"Fr","9-Jun","Washington",-0.730119
"376","Tank Hemphill","Green Bay","Horz",70.9,96.4,21.7,52,6.5,14.6,9.7,17,2,1.9,40.4,"Jr","6-Jun","Drake",-0.668814
"377","Bryan Trimble Jr.","St. John's","BE",39.1,90.1,8.3,48.1,0.4,8.9,4.1,17.3,2,1.1,2.5,"So","3-Jun","Akron",0.220456
"378","Jarvis Doles","Drexel","CAA",4.4,61.6,16.1,30,0,21,6.3,19.3,3.5,2.1,20,"Jr","9-Jun","Albany",0.866737
"379","Kevin Hunt","McNeese St.","Slnd",59.1,86.3,20.6,44.5,1.7,8.6,25.1,28.2,1.3,1.4,25.6,"So","3-Jun","Morehead St.",-2.78126
"380","Oliver Lynch-Daniels","Houston Baptist","Slnd",57.6,90.2,19.9,45.2,2.2,13.4,14.6,23.1,0.3,1.1,29.7,"So","2-Jun","Colgate",-2.83473
