"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"1","Michael Baer","Iowa","B10",0.9,200,3,100,0,18.2,0,0,9.3,5.1,0,"Jr","7-Jun","Siena",7.45472
"2","Tyrell Jones","Auburn","SEC",7.2,65.2,25.8,31.3,0,11.9,17.6,37.3,1.3,2.8,50,"So","1-Jun","South Alabama",-0.875867
"3","Qwanzi Samuels","Florida Gulf Coast","ASun",0.8,50.7,35.7,33.3,0,42.5,0,31.3,0,11.2,0,"So","8-Jun","George Washington",4.02414
"4","Jaylon Hall","Wright St.","Horz",59.1,102,18.8,57.6,1,8.7,14.9,27.3,0.2,1.8,31.1,"Jr","5-Jun","Morehead St.",0.396532
"5","Bitumba Baruti","East Carolina","Amer",54.9,98.6,14.9,46,5.5,13.4,8.5,9.8,3.6,2.5,20.8,"Sr","7-Jun","Florida Atlantic",1.88778
"6","Onyi Eyisi","Fordham","A10",37.5,85.8,14,48.6,4.3,13.9,0,19,3.4,1.2,57.1,"Jr","9-Jun","Cal St. Northridge",0.582807
"7","Ahmad Rand","Memphis","Amer",1.6,37.3,12.2,0,18.4,30.4,0,50.2,6.6,3.1,0,"Jr","8-Jun","Oregon St.",0.805975
"8","Ibrahim Famouke Doumbia","UCF","Amer",3.5,52.5,12,12.5,7.6,25.3,5.6,0,3.6,0,0,"Jr","7-Jun","Cal St. Fullerton",-0.100965
"9","Kris Monroe","Providence","BE",7.8,79.3,16,30,6.8,6.9,6.6,4.4,3.8,0.7,12,"Jr","8-Jun","North Carolina Central",-0.970933
"10","Tekorian Smith","Kent St.","MAC",0.6,0,7.2,0,0,0,0,0,0,0,0,"Jr","4-Jun","Troy",-4.69279
"11","Michael Flowers","South Alabama","SB",93.2,107.9,29.1,52,1.1,12.5,22.1,16.8,0.4,2.3,32.9,"Sr","1-Jun","Washington St.",-1.57088
"12","DeVante' Jones","Coastal Carolina","SB",84.3,116.5,24.7,52.7,5.1,17.4,16.8,16.2,0.7,4.2,43.3,"Jr","1-Jun","Michigan",2.81843
"13","Alex Merkviladze","Cal St. Northridge","BW",70.4,97,18.3,50.3,4,24.5,7.5,15.6,1,0.8,23,"Fr","9-Jun","Loyola Marymount",-2.45001
"14","PJ Henry","Hartford","AE",43.6,99.7,15.6,47.4,1.7,9.4,16.8,22.9,0,2.3,39.7,"So","10-May","Texas Southern",0.814415
